"Value","Proportion","Background characteristics"
"Urban",72,"Residence"
"Rural",71,"Residence"
"Highland epidemic prone",67,"Endemicity zone"
"Lake endemic",72,"Endemicity zone"
"Coast endemic",77,"Endemicity zone"
"Seasonal",76,"Endemicity zone"
"Low risk",74,"Endemicity zone"
"Lowest",71,"Wealth quintile"
"Second",72,"Wealth quintile"
"Middle",73,"Wealth quintile"
"Fourth",71,"Wealth quintile"
"Highest",68,"Wealth quintile"
