"Value","Proportion","Background characteristics"
"Urban",37,"Residence"
"Rural",56,"Residence"
"Highland epidemic prone",76,"Endemicity zone"
"Lake endemic",76,"Endemicity zone"
"Coast endemic",63,"Endemicity zone"
"Seasonal",28,"Endemicity zone"
"Low risk",26,"Endemicity zone"
"Lowest",46,"Wealth quintile"
"Second",60,"Wealth quintile"
"Middle",58,"Wealth quintile"
"Fourth",47,"Wealth quintile"
"Highest",37,"Wealth quintile"
